pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.description == null,daikon.inv.unary.scalar.OneOfScalar,(return.description),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.description
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"return.room.typeEstimated.beds one of { 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(return.room.typeEstimated.beds),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.typeEstimated.beds
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.guests.childAges == null,daikon.inv.unary.scalar.OneOfScalar,(return.guests.childAges),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.guests.childAges
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.price.markups == null,daikon.inv.unary.scalar.OneOfScalar,(return.price.markups),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.markups
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.prepay),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay.acceptedPayments == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.prepay.acceptedPayments),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay.acceptedPayments
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay.acceptedPayments.creditCards == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.prepay.acceptedPayments.creditCards),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay.acceptedPayments.creditCards
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.holdTime == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.holdTime),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.holdTime
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"return.policies.cancellation.numberOfNights one of { 1, 3 }",daikon.inv.unary.scalar.OneOfScalar,(return.policies.cancellation.numberOfNights),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.numberOfNights
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.checkInOut == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.checkInOut),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.checkInOut
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.checkInOut.checkInDescription == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.checkInOut.checkInDescription),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.checkInOut.checkInDescription
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.checkInOut.checkOutDescription == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.checkInOut.checkOutDescription),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.checkInOut.checkOutDescription
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"size(return.price.taxes[]) one of { 1, 2, 3 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.price.taxes[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,size(return.policies.guarantee.acceptedPayments.methods[]) == 1,daikon.inv.unary.scalar.OneOfScalar,(size(return.policies.guarantee.acceptedPayments.methods[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.guarantee.acceptedPayments.methods
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"size(return.policies.deposit.acceptedPayments.creditCards[]) one of { 7, 9 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.policies.deposit.acceptedPayments.creditCards[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.deposit.acceptedPayments.creditCards
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"size(return.policies.deposit.acceptedPayments.methods[]) one of { 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.policies.deposit.acceptedPayments.methods[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.deposit.acceptedPayments.methods
